index,id_of_item,Domain_Code,Domain,Area_Code,Area,Element_Code,Element,Item_Code,Crop_Name,Year_Code,Year,Unit,Production_Value,Flag,Flag_Description,Annual_Temp,Temp_Jan_Feb,Temp_Mar_May,Temp_Jun_Sep,Temp_Oct_Dec,Rain_Jan,Rain_Feb,Rain_Mar,Rain_Apr,Rain_May,Rain_Jun,Rain_Jul,Rain_Aug,Rain_Sep,Rain_Oct,Rain_Nov,Rain_Dec,Annual_Rainfall,Rain_Jan_Feb,Rain_Mar_May,Rain_Jun_Sep,Rain_Oct_Dec
0,1,QCL,Crops and livestock products,100,India,5312,Area harvested,515,Apples,1961,1961,ha,44500,F,FAO estimate,24,18.98,26.11,27.06,21.17,26.1,34.8,26,28.5,77.6,192.9,336.6,287.6,234.9,122.2,21.7,10.4,1399.2,60.9,132.1,1052,154.2
1,59,QCL,Crops and livestock products,100,India,5419,Yield,515,Apples,1961,1961,hg/ha,41573,Fc,Calculated data,24,18.98,26.11,27.06,21.17,26.1,34.8,26,28.5,77.6,192.9,336.6,287.6,234.9,122.2,21.7,10.4,1399.2,60.9,132.1,1052,154.2
2,117,QCL,Crops and livestock products,100,India,5510,Production,515,Apples,1961,1961,tonnes,185000,,Official data,24,18.98,26.11,27.06,21.17,26.1,34.8,26,28.5,77.6,192.9,336.6,287.6,234.9,122.2,21.7,10.4,1399.2,60.9,132.1,1052,154.2
3,175,QCL,Crops and livestock products,100,India,5312,Area harvested,526,Apricots,1961,1961,ha,2900,F,FAO estimate,24,18.98,26.11,27.06,21.17,26.1,34.8,26,28.5,77.6,192.9,336.6,287.6,234.9,122.2,21.7,10.4,1399.2,60.9,132.1,1052,154.2
4,233,QCL,Crops and livestock products,100,India,5419,Yield,526,Apricots,1961,1961,hg/ha,27586,Fc,Calculated data,24,18.98,26.11,27.06,21.17,26.1,34.8,26,28.5,77.6,192.9,336.6,287.6,234.9,122.2,21.7,10.4,1399.2,60.9,132.1,1052,154.2
5,291,QCL,Crops and livestock products,100,India,5510,Production,526,Apricots,1961,1961,tonnes,8000,,Official data,24,18.98,26.11,27.06,21.17,26.1,34.8,26,28.5,77.6,192.9,336.6,287.6,234.9,122.2,21.7,10.4,1399.2,60.9,132.1,1052,154.2
6,349,QCL,Crops and livestock products,100,India,5312,Area harvested,226,Areca nuts,1961,1961,ha,135000,F,FAO estimate,24,18.98,26.11,27.06,21.17,26.1,34.8,26,28.5,77.6,192.9,336.6,287.6,234.9,122.2,21.7,10.4,1399.2,60.9,132.1,1052,154.2
7,407,QCL,Crops and livestock products,100,India,5419,Yield,226,Areca nuts,1961,1961,hg/ha,8889,Fc,Calculated data,24,18.98,26.11,27.06,21.17,26.1,34.8,26,28.5,77.6,192.9,336.6,287.6,234.9,122.2,21.7,10.4,1399.2,60.9,132.1,1052,154.2
8,465,QCL,Crops and livestock products,100,India,5510,Production,226,Areca nuts,1961,1961,tonnes,120000,F,FAO estimate,24,18.98,26.11,27.06,21.17,26.1,34.8,26,28.5,77.6,192.9,336.6,287.6,234.9,122.2,21.7,10.4,1399.2,60.9,132.1,1052,154.2
9,523,QCL,Crops and livestock products,100,India,5312,Area harvested,486,Bananas,1961,1961,ha,165000,,Official data,24,18.98,26.11,27.06,21.17,26.1,34.8,26,28.5,77.6,192.9,336.6,287.6,234.9,122.2,21.7,10.4,1399.2,60.9,132.1,1052,154.2
10,581,QCL,Crops and livestock products,100,India,5419,Yield,486,Bananas,1961,1961,hg/ha,136788,Fc,Calculated data,24,18.98,26.11,27.06,21.17,26.1,34.8,26,28.5,77.6,192.9,336.6,287.6,234.9,122.2,21.7,10.4,1399.2,60.9,132.1,1052,154.2
11,639,QCL,Crops and livestock products,100,India,5510,Production,486,Bananas,1961,1961,tonnes,2257000,,Official data,24,18.98,26.11,27.06,21.17,26.1,34.8,26,28.5,77.6,192.9,336.6,287.6,234.9,122.2,21.7,10.4,1399.2,60.9,132.1,1052,154.2
