,Year,Annual_Temp,JAN-FEB,MAR-MAY,JUN-SEP,OCT-DEC
0,1961,24,18.98,26.11,27.06,21.17
1,1962,24.04,18.91,25.91,27.14,21.47
2,1963,24.15,19.07,25.57,27.21,22.04
3,1964,24.1,18.83,26.38,26.9,21.58
4,1965,24.07,19.22,25.24,27.08,22.1
5,1966,24.36,19.93,26.07,27.17,21.83
6,1967,24.11,19.44,25.55,27.19,21.68
7,1968,23.94,18.25,25.62,27.22,21.69
8,1969,24.46,19.18,26.39,27.35,22.2
9,1970,24.26,19.56,26.39,27.06,21.55
10,1971,23.91,19.05,25.78,26.75,21.48
11,1972,24.1,18.57,25.78,27.27,21.88
12,1973,24.41,19.74,26.53,27.3,21.53
13,1974,24,18.54,26.24,27.02,21.38
14,1975,23.74,18.69,25.77,26.57,21.3
15,1976,24.07,18.87,25.61,26.87,22.25
16,1977,24.35,19.35,26.03,27.13,22.3
17,1978,24.24,18.95,25.94,27.12,22.22
18,1979,24.57,19.47,25.97,27.54,22.59
19,1980,24.55,19.64,26.58,27.26,22.17
20,1981,24.27,19.42,26.14,27.22,21.68
21,1982,24.15,19.14,25.41,27.31,22.02
22,1983,24.12,19.09,25.45,27.43,21.71
23,1984,24.26,18.85,26.51,27.1,21.82
24,1985,24.45,19.61,26.72,27.12,21.84
25,1986,24.2,19.12,25.94,27.17,21.9
26,1987,24.57,19.42,25.85,27.88,22.29
27,1988,24.42,19.7,26.24,27.22,22
28,1989,24.03,18.76,25.69,26.98,21.94
29,1990,24.21,19.44,25.55,27.18,22.11
30,1991,24.28,19.21,26.02,27.32,21.87
31,1992,24.15,19.06,25.64,27.15,22.04
32,1993,24.43,19.61,25.98,27.34,22.21
33,1994,24.46,19.76,26.3,27.3,21.97
34,1995,25.29,20.33,26.94,28.07,23.19
35,1996,24.55,20.79,26.49,27.22,21.76
36,1997,24.1,18.87,25.69,27.6,21.89
37,1998,24.76,19.72,26.41,27.69,22.42
38,1999,24.67,19.75,26.66,27.38,22.29
39,2000,24.6,19.33,26.47,27.23,22.68
40,2001,24.73,19.75,26.82,27.47,22.52
41,2002,25,19.65,27.22,27.71,22.58
42,2003,24.72,19.82,26.52,27.64,22.23
43,2004,24.74,19.93,27.06,27.33,22.24
44,2005,24.58,19.79,26.33,27.64,21.93
45,2006,25.06,21.33,26.52,27.4,22.66
46,2007,24.77,20.1,26.69,27.49,22.32
47,2008,24.61,19.16,26.46,27.26,22.87
48,2009,25.11,20.72,26.86,27.89,22.58
49,2010,25.13,20.19,27.83,27.5,22.6
50,2011,24.67,19.54,26.38,27.54,22.71
51,2012,24.69,19.34,26.55,27.71,22.35
52,2013,24.82,19.98,26.85,27.46,22.5
53,2014,24.73,19.58,26.24,27.88,22.47
54,2015,24.91,20.12,26.29,27.73,22.99
55,2016,25.15,22.25,28.86,28.44,24.2
56,2017,24.79,21.84,28.41,28.5,24.21
57,2018,25.09,21.24,28.16,28.28,23.55
